Model,MSE,RMSE,R2
Linear Regression,1801070.7268312066,1342.0397635059874,0.8860315001575938
Ridge Regression,1801020.802299822,1342.0211631341072,0.8860346592916925
Lasso Regression,1801046.6884294716,1342.030807556023,0.8860330212642019
